person1,person2,role1,role2,movie_id,movie_name,rating,year,cooperation_id
彭大魔,蔡明凯,director,actor,5,抓娃娃,7.1,0,彭大魔_蔡明凯_5
彭大魔,罗娜,director,actor,5,抓娃娃,7.1,0,彭大魔_罗娜_5
彭大魔,杨山,director,actor,5,抓娃娃,7.1,0,彭大魔_杨山_5
彭大魔,关文净,director,actor,5,抓娃娃,7.1,0,彭大魔_关文净_5
彭大魔,牛十一,director,actor,5,抓娃娃,7.1,0,彭大魔_牛十一_5
彭大魔,路迪,director,actor,5,抓娃娃,7.1,0,彭大魔_路迪_5
彭大魔,陈昊明,director,actor,5,抓娃娃,7.1,0,彭大魔_陈昊明_5
彭大魔,贾舒涵,director,actor,5,抓娃娃,7.1,0,彭大魔_贾舒涵_5
彭大魔,芮丹尼,director,actor,5,抓娃娃,7.1,0,彭大魔_芮丹尼_5
彭大魔,于健,director,actor,5,抓娃娃,7.1,0,彭大魔_于健_5
彭大魔,龙美杉,director,actor,5,抓娃娃,7.1,0,彭大魔_龙美杉_5
彭大魔,闫剑波,director,actor,5,抓娃娃,7.1,0,彭大魔_闫剑波_5
彭大魔,魏巍,director,actor,5,抓娃娃,7.1,0,彭大魔_魏巍_5
彭大魔,于健,director,actor,5,抓娃娃,7.1,0,彭大魔_于健_5
彭大魔,康启轩,director,actor,5,抓娃娃,7.1,0,彭大魔_康启轩_5
彭大魔,郜玄铭,director,actor,5,抓娃娃,7.1,0,彭大魔_郜玄铭_5
彭大魔,李尚,director,actor,5,抓娃娃,7.1,0,彭大魔_李尚_5
彭大魔,张猛,director,actor,5,抓娃娃,7.1,0,彭大魔_张猛_5
彭大魔,李松岳,director,actor,5,抓娃娃,7.1,0,彭大魔_李松岳_5
彭大魔,雷阳,director,actor,5,抓娃娃,7.1,0,彭大魔_雷阳_5
彭大魔,薛媛媛,director,actor,5,抓娃娃,7.1,0,彭大魔_薛媛媛_5
彭大魔,杨兆超,director,actor,5,抓娃娃,7.1,0,彭大魔_杨兆超_5
彭大魔,王硕,director,actor,5,抓娃娃,7.1,0,彭大魔_王硕_5
彭大魔,谭玉龙,director,actor,5,抓娃娃,7.1,0,彭大魔_谭玉龙_5
董润年,大鹏,director,actor,6,年会不能停！,8.1,0,董润年_大鹏_6
董润年,白客,director,actor,6,年会不能停！,8.1,0,董润年_白客_6
董润年,庄达菲,director,actor,6,年会不能停！,8.1,0,董润年_庄达菲_6
董润年,王迅,director,actor,6,年会不能停！,8.1,0,董润年_王迅_6
董润年,孙艺洲,director,actor,6,年会不能停！,8.1,0,董润年_孙艺洲_6
董润年,李乃文,director,actor,6,年会不能停！,8.1,0,董润年_李乃文_6
董润年,欧阳奋强,director,actor,6,年会不能停！,8.1,0,董润年_欧阳奋强_6
董润年,童漠男,director,actor,6,年会不能停！,8.1,0,董润年_童漠男_6
董润年,大木,director,actor,6,年会不能停！,8.1,0,董润年_大木_6
董润年,晃晃,director,actor,6,年会不能停！,8.1,0,董润年_晃晃_6
董润年,衣云鹤,director,actor,6,年会不能停！,8.1,0,董润年_衣云鹤_6
董润年,杨磊,director,actor,6,年会不能停！,8.1,0,董润年_杨磊_6
董润年,孔连顺,director,actor,6,年会不能停！,8.1,0,董润年_孔连顺_6
董润年,李栋,director,actor,6,年会不能停！,8.1,0,董润年_李栋_6
董润年,王学东,director,actor,6,年会不能停！,8.1,0,董润年_王学东_6
董润年,赵天爱,director,actor,6,年会不能停！,8.1,0,董润年_赵天爱_6
董润年,王皓,director,actor,6,年会不能停！,8.1,0,董润年_王皓_6
董润年,宋木子,director,actor,6,年会不能停！,8.1,0,董润年_宋木子_6
董润年,合文俊,director,actor,6,年会不能停！,8.1,0,董润年_合文俊_6
董润年,李飞,director,actor,6,年会不能停！,8.1,0,董润年_李飞_6
董润年,石老板,director,actor,6,年会不能停！,8.1,0,董润年_石老板_6
董润年,六兽,director,actor,6,年会不能停！,8.1,0,董润年_六兽_6
董润年,卢庚戌,director,actor,6,年会不能停！,8.1,0,董润年_卢庚戌_6
董润年,鄂靖文,director,actor,6,年会不能停！,8.1,0,董润年_鄂靖文_6
董润年,李萍,director,actor,6,年会不能停！,8.1,0,董润年_李萍_6
董润年,刘頔,director,actor,6,年会不能停！,8.1,0,董润年_刘頔_6
董润年,董润年,director,actor,6,年会不能停！,8.1,0,董润年_董润年_6
韩寒,沈腾,director,actor,7,飞驰人生2,7.6,0,韩寒_沈腾_7
韩寒,范丞丞,director,actor,7,飞驰人生2,7.6,0,韩寒_范丞丞_7
韩寒,尹正,director,actor,7,飞驰人生2,7.6,0,韩寒_尹正_7
韩寒,张本煜,director,actor,7,飞驰人生2,7.6,0,韩寒_张本煜_7
韩寒,孙艺洲,director,actor,7,飞驰人生2,7.6,0,韩寒_孙艺洲_7
韩寒,魏翔,director,actor,7,飞驰人生2,7.6,0,韩寒_魏翔_7
韩寒,贾冰,director,actor,7,飞驰人生2,7.6,0,韩寒_贾冰_7
韩寒,郑恺,director,actor,7,飞驰人生2,7.6,0,韩寒_郑恺_7
韩寒,冯绍峰,director,actor,7,飞驰人生2,7.6,0,韩寒_冯绍峰_7
韩寒,黄景瑜,director,actor,7,飞驰人生2,7.6,0,韩寒_黄景瑜_7
韩寒,刘昊然,director,actor,7,飞驰人生2,7.6,0,韩寒_刘昊然_7
韩寒,于适,director,actor,7,飞驰人生2,7.6,0,韩寒_于适_7
韩寒,胡先煦,director,actor,7,飞驰人生2,7.6,0,韩寒_胡先煦_7
韩寒,阎鹤祥,director,actor,7,飞驰人生2,7.6,0,韩寒_阎鹤祥_7
韩寒,周野芒,director,actor,7,飞驰人生2,7.6,0,韩寒_周野芒_7
韩寒,高华阳,director,actor,7,飞驰人生2,7.6,0,韩寒_高华阳_7
韩寒,孙强,director,actor,7,飞驰人生2,7.6,0,韩寒_孙强_7
韩寒,范高翔,director,actor,7,飞驰人生2,7.6,0,韩寒_范高翔_7
韩寒,郝瀚,director,actor,7,飞驰人生2,7.6,0,韩寒_郝瀚_7
张艺谋,沈腾,director,actor,8,满江红,7.0,0,张艺谋_沈腾_8
张艺谋,易烊千玺,director,actor,8,满江红,7.0,0,张艺谋_易烊千玺_8
张艺谋,张译,director,actor,8,满江红,7.0,0,张艺谋_张译_8
