name,movie_count,avg_rating,director_count,writer_count,actor_count
张小斐,1,5.0,0,0,1
张宥浩,6,6.466666666666668,0,0,6
刘敏涛,4,5.75,0,0,4
丁嘉丽,13,7.961538461538461,0,0,13
杨恩又,3,7.033333333333334,0,0,3
曹桐睿,2,7.0,0,0,2
杨迪,10,7.81,0,0,10
宋家腾,1,5.0,0,0,1
赖晓生,2,6.7,0,0,2
裴魁山,5,6.7,1,0,4
蒋赟,1,5.0,0,0,1
李胤维,2,6.3,0,0,2
傅首尔,2,5.1,0,0,2
简君晋,1,7.8,1,0,0
姜大卫,7,7.3,0,0,7
余香凝,1,7.8,0,0,1
林保怡,6,7.533333333333334,0,0,6
梁仲恒,1,7.8,0,0,1
陈湛文,2,7.0,0,0,2
周汉宁,1,7.8,0,0,1
梁雍婷,2,8.05,0,0,2
龚慈恩,4,8.175,0,0,4
宝珮如,1,7.8,0,0,1
朱柏谦,2,7.5,0,0,2
朱栢康,2,8.05,0,0,2
许月湘,1,7.8,0,0,1
胡枫,2,8.35,0,0,2
鲍起静,15,7.826666666666667,0,0,15
高翰文,2,7.0,0,0,2
彭杏英,3,7.199999999999999,0,0,3
罗浩铭,1,7.8,0,0,1
谭玉瑛,1,7.8,0,0,1
吴浣仪,2,8.0,0,0,2
刘沛蘅,1,7.8,0,0,1
梁天尺,1,7.8,0,0,1
於水,2,8.5,1,0,1
路扬,1,8.5,0,0,1
董汶亮,1,8.5,0,0,1
张闻天,1,8.5,0,0,1
李盟,2,8.4,0,0,2
陈喆,2,7.4,0,0,2
付博文,3,8.133333333333333,0,0,3
王上斌,1,8.5,0,0,1
吴旭,3,7.966666666666668,0,0,3
韩冬青,1,8.5,0,0,1
姜小亮,1,8.5,0,0,1
马多,1,7.0,1,0,0
李梦,19,7.768421052631577,0,0,19
郑合惠子,1,7.0,0,0,1
翟子路,1,7.0,0,0,1
费启鸣,1,7.0,0,0,1
邓帅,1,7.0,0,0,1
李治良,2,6.55,0,0,2
徐浩伦,1,7.0,0,0,1
谭湘文,1,7.0,0,0,1
唐香玉,1,7.0,0,0,1
毕赣,3,7.966666666666666,3,0,0
舒淇,27,8.277777777777779,1,0,26
李庚希,3,6.766666666666667,0,0,3
陈永忠,3,7.966666666666666,0,0,3
郭沐橙,1,6.5,0,0,1
张志坚,2,6.75,0,0,2
闫楠,1,6.5,0,0,1
申奥,1,8.8,1,0,0
高叶,6,8.016666666666667,0,0,6
王骁,5,7.3,0,0,5
原岛大地,4,7.675000000000001,0,0,4
刘亦淳,1,8.8,0,0,1
孙阳,3,7.566666666666666,0,0,3
林雪,65,7.752307692307692,0,0,65
宋小宝,6,7.183333333333334,0,0,6
付航,2,6.8,0,0,2
杨环宇,1,7.5,0,0,1
刘旸,1,7.5,0,0,1
金广发,1,7.5,0,0,1
闫佩伦,1,7.5,0,0,1
梁植,1,7.5,0,0,1
刘仁铖,1,7.5,0,0,1
罗圣灯,1,7.5,0,0,1
苗若芃,1,7.5,0,0,1
梁超,10,7.660000000000001,0,0,10
贾樟柯,11,8.3,8,0,3
樊登,1,7.5,0,0,1
孙悦,2,6.95,0,0,2
大冰,1,7.5,0,0,1
王梓尘,4,8.600000000000001,0,0,4
严丰,1,7.5,0,0,1
郭丰周,2,7.7,0,0,2
刘占奎,1,7.5,0,0,1
冯力宪,1,7.5,0,0,1
易佳莫,1,7.5,0,0,1
孙睿,2,7.05,0,0,2
顾有利,1,7.5,0,0,1
肖涵齐,1,7.5,0,0,1
