name,rating,types,directors,actors
食神,8.2,喜剧 / 动作,周星驰 / 李力持,周星驰 / 莫文蔚 / 薛家燕 / 吴孟达 / 谷德昭 / 罗家英 / 刘以达 / 李兆基 / 欧锦棠 / 江希文 / 苑琼丹 / 田启文 / 钟丽缇 / 林雪 / 叶竞生
人生路不熟,5.8,剧情 / 喜剧,易小星,乔杉 / 范丞丞 / 马丽 / 张婧仪 / 常远 / 田雨 / 尹正 / 小爱 / 张磊 / 张熙然 / 李宗恒 / 张百乔 / 何熙维 / 甘昀宸 / 庄园 / 黄金 / 阿大 / 易小星 / 萧李臻瑱 / 梦涵 / 任山
志愿军：浴血和平,7.1,剧情 / 历史 / 战争,陈凯歌,张子枫 / 宋佳 / 朱亚文 / 陈飞宇 / 彭昱畅 / 肖央 / 王砚辉 / 郭涛 / 王传君 / 周政杰 / 张宥浩 / 吴昊宸 / 王挺 / 郭晓东 / 李晨 / 杜江 / 冯绍峰 / 闫妮 / 阿如那 / 曲禾 / 王雨甜 / 于谨维 / 王阳 / 张雪迎 / 刘军 / 朱一龙 / 辛柏青 / 袁凯 / 梁靖康 / 于清斌
神雕侠侣：问世间,4.6,武侠 / 古装,林珍钊,赵华为 / 王梓莼 / 陈紫函 / 罗嘉良 / 董璇 / 释彦能 / 梁小龙 / 李子雄 / 付美 / 高雄 / 汤镇业
7天,5.9,剧情 / 爱情,邱玉洁,蒋奇明 / 张艺凡 / 杨皓宇 / 刘丹 / 郭柯宇 / 黄米依 / 生港帅 / 李哲霆 / 张婉清
浪浪人生,6.1,剧情 / 喜剧 / 家庭,马林,黄渤 / 范丞丞 / 殷桃 / 刘雪华 / 常远 / 李嘉琦 / 付航 / 孙艺洲 / 张本煜 / 易小星 / 小爱 / 邓恩熙 / 李治良 / 刘西蒙 / 郝瀚 / 杜梦涵 / 庄园 / 刘德华
猎金·游戏,5.3,剧情 / 犯罪,邱礼涛,刘德华 / 欧豪 / 倪妮 / 黄奕 / 蒋梦婕 / 郑则仕 / 刘以豪 / 赵海燕 / 李梦男 / 田丽 / 张晨光 / 连凯 / 张琪 / 麦长青 / 赵永洪
不说话的爱,6.9,剧情,沙漠,张艺兴 / 李珞桉 / 黄尧 / 安沺 / 章若楠 / 袁文康 / 艾丽娅 / 王先贺
维和防暴队,5.3,剧情 / 动作,李达超,黄景瑜 / 王一博 / 钟楚曦 / 欧豪 / 朱亚文 / 谷嘉诚 / 赵华为 / 木兰 / 白那日苏 / 余沛杉 / 刘学 / 南伏龙 / 魏冲 / 印小天 / 冯文娟 / 孙伊涵 / 李岷城 / 蒋林燕 / 高舒乔 / 李凯文
临时决斗,6.2,喜剧 / 动作,麦启光,古天乐 / 梁咏琪 / 王丹妮 / 周秀娜 / 胡子彤 / 张文杰 / 陈湛文 / 杨诗敏 / 王尹菁 / 伍允龙 / 乔靖夫 / 王颂茵 / 陈献略 / 陈惠敏 / 陈桢怡 / 吴梓熙 / 郑丹瑞
女孩,7.2,剧情,舒淇,邱泽 / 汤毓绮 / 白小樱 / 林品彤 / 赖雨霏 / 刘品言 / 陈竹升 / 曾珮瑜 / 梁正群 / 谢琼煖 / 黄镫辉 / 刘冠廷
超能一家人,3.7,喜剧 / 家庭 / 奇幻,宋阳,艾伦 / 沈腾 / 陶慧 / 张琪 / 韩彦博 / 白丽娜 / 康晞娅 / 安德烈·拉泽夫 / 腾格尔 / 马丽 / 魏翔 / 常远
谈判专家,7.2,剧情 / 犯罪,邱礼涛,刘青云 / 吴镇宇 / 刘德华 / 苗侨伟 / 姜皓文 / 彭秀慧 / 周文健 / 颜卓灵 / 杨伟伦 / 郑则仕 / 韦罗莎 / 洪天明 / 黄德斌 / 卢惠光 / 朱柏谦 / 黄又南 / 朱鉴然
我才不要和你做朋友呢,5.9,喜剧,何念,庄达菲 / 陈昊宇 / 王皓 / 毕雯珺 / 贾冰 / 牛莉 / 杨皓宇 / 钱芳 / 车保罗 / 董思怡 / 王佳宝 / 闫强 / 万国鹏
灿烂的她,5.9,剧情 / 家庭,徐伟,惠英红 / 刘浩存 / 张子贤 / 刘欢 / 苇青 / 刘奕铁 / 胡宝森 / 廖银玥 / 葛四 / 鄂靖文 / 荣梓杉 / 余皑磊 / 钱锦 / 李祉默 / 林源
念念相忘,5.9,爱情,刘雨霖,刘浩存 / 宋威龙 / 卜冠今 / 郭丞 / 高亚麟 / 倪虹洁 / 郭柯宇 / 张磊
燃冬,5.5,剧情 / 爱情,陈哲艺,周冬雨 / 刘昊然 / 屈楚萧 / 魏如光 / 白沙
红毯先生,6.5,剧情 / 喜剧,宁浩,刘德华 / 单立文 / 瑞玛·席丹 / 余伟国 / 宁浩 / 林熙蕾 / 梁家辉 / 杨千嬅 / 王晶 / 张子贤 / 刘漪琳 / 周炜 / 孙阳 / 薛宝鹤 / 马东
非诚勿扰3,5.4,喜剧 / 爱情 / 科幻,冯小刚,葛优 / 舒淇 / 范伟 / 姚晨 / 李诚儒 / 关晓彤 / 虞书欣 / 岳云鹏 / 常远 / 邬逸聪 / 张涵予 / 王宝强 / 易小星 / 吕行 / 张磊
爱很美味,7.1,剧情 / 爱情,陈正道 / 许肇任,李纯 / 张含韵 / 王菊 / 倪虹洁 / 吕星辰 / 娜仁花 / 赵淑珍 / 巩金国 / 任彬 / 张帆 / 尹浩宇 / 周澄奥 / 杨博潇 / 任洛敏 / 白恩 / 王梓伊 / 任飞儿 / 乔伊依 / 叶浏 / 强咚咚 / 刘冬沁
没有一顿火锅解决不了的事,4.8,喜剧 / 悬疑 / 犯罪,丁晟,杨幂 / 于谦 / 田雨 / 余皑磊 / 李九霄 / 黄小蕾 / 杨漫 / 李勇 / 谭飞 / 哈丹 / 李刚 / 赵思洲 / 刘做维 / 顾勇 / 郝运明
人潮汹涌,6.5,喜剧 / 犯罪,饶晓志,刘德华 / 肖央 / 万茜 / 程怡 / 黄小蕾 / 国义骞 / 狄志杰 / 郭京飞 / 刘天佐 / 路阳 / 郭帆 / 刘浩良 / 饶晓志 / 雷佳音 / 史航 / 魏之皓 / 王学兵 / 林海 / 隋凯 / 卫莱 / 邵逸凡
穿过寒冬拥抱你,5.5,剧情 / 爱情,薛晓路,黄渤 / 贾玲 / 朱一龙 / 徐帆 / 高亚麟 / 吴彦姝 / 许绍雄 / 王骁 / 周冬雨 / 刘昊然 / 乔欣 / 王一楠 / 刘天佐 / 田小洁 / 孙茜 / 张宥浩 / 尚语贤
神探大战,6.7,动作 / 悬疑 / 犯罪,韦家辉,刘青云 / 蔡卓妍 / 林峯 / 李若彤 / 谭凯 / 陈家乐 / 汤怡 / 何珮瑜 / 吴浩康 / 洪天明 / 车婉婉 / 斌子 / 李菁 / 马志威 / 杨天宇 / 胡子彤 / 朱鉴然 / 马睿瀚
好像也没那么热血沸腾,6.7,喜剧 / 运动,高虎,魏翔 / 王智 / 岳亮 / 艾伦 / 王子异 / 周大勇 / 韩德笑 / 建康 / 刘沐琪 / 刘斯博 / 刘雪涛 / 于白水 / 张恒瑞 / 于洋 / 马旭东 / 大力 / 张芝华
