movie_id,name,year,rating,directors_count,writers_count,actors_count,total_persons
1828,冷瞳,0,6.7,2,0,8,10
1829,牛胆神偷,0,6.7,1,0,6,7
1830,冲锋号,0,6.7,1,0,1,2
1831,南泥湾,0,6.7,1,0,3,4
1832,衰鸟向前冲,0,6.7,1,0,3,4
1833,美男记,0,6.7,1,0,6,7
1834,哭笑不得,0,6.7,1,0,3,4
1835,初恋浅规则,0,6.7,1,0,2,3
1836,与妻书,0,6.7,1,0,7,8
1837,一夜成名,0,6.7,1,0,6,7
1838,古宝奇缘,0,6.7,1,0,2,3
1839,追踪章鱼保罗,0,6.7,3,0,11,14
1840,武术之少年行,0,6.7,1,0,8,9
1841,地下的天空,0,6.7,1,0,4,5
1842,蔓延,0,6.7,1,0,4,5
1843,我的法兰西岁月,0,6.7,1,0,7,8
1844,惊蛰,0,6.7,1,0,1,2
1845,哎呀呀，去哺乳,0,6.7,1,0,5,6
1846,惊涛骇浪,0,6.7,1,0,7,8
1847,邓小平,0,6.7,1,0,10,11
1848,庭院里的女人,0,6.7,1,0,3,4
1849,男男女女,0,6.7,1,0,5,6
1850,野山,0,6.7,1,0,6,7
1851,火龙,0,6.7,1,0,4,5
1852,镇魔司：苍龙觉醒,0,6.6,1,0,6,7
1853,你不是一个人,0,6.6,1,0,3,4
1854,北海食神,0,6.6,1,0,5,6
1855,刺杀风云,0,6.6,1,0,10,11
1856,照相师,0,6.6,1,0,11,12
1857,狄仁杰之无头神将,0,6.6,2,0,8,10
1858,一条叫招财的鱼,0,6.6,1,0,8,9
1859,特别追踪,0,6.6,1,0,4,5
1860,那些女人,0,6.6,3,0,30,33
1861,天才J之谜题里的倒计时,0,6.6,1,0,5,6
1862,天下第一镖局,0,6.6,1,0,30,31
1863,纯真年代,0,6.6,1,0,10,11
1864,童年随之而去,0,6.6,1,0,3,4
1865,济公之神龙再现,0,6.6,1,0,8,9
1866,宇宙有爱浪漫同游,0,6.6,1,0,8,9
1867,大雪冬至,0,6.6,1,0,5,6
1868,杀无赦II逃亡之路,0,6.6,1,0,7,8
1869,杀无赦III背水一战,0,6.6,1,0,7,8
1870,爱的帕斯卡,0,6.6,1,0,8,9
1871,娘子军传奇,0,6.6,1,0,5,6
1872,青春逗,0,6.6,1,0,10,11
1873,再见时光,0,6.6,1,0,7,8
1874,领袖1935,0,6.6,2,0,13,15
1875,碟仙诡谭2,0,6.6,1,0,8,9
1876,大梦西游2铁扇公主,0,6.6,1,0,8,9
1877,缞神契约,0,6.6,1,0,7,8
1878,王牌御史猎妖教室,0,6.6,2,0,18,20
1879,聊斋新编之画皮新娘,0,6.6,1,0,11,12
1880,特殊嫌疑犯,0,6.6,1,0,5,6
1881,四渡赤水,0,6.6,1,0,5,6
1882,诡新娘,0,6.6,2,0,18,20
1883,七月半2：前世今生,0,6.6,1,0,11,12
1884,恐怖爱情故事之死亡公路,0,6.6,1,0,10,11
1885,死亡笔记,0,6.6,1,0,3,4
1886,购物女王,0,6.6,1,0,8,9
1887,恐怖照相机,0,6.6,1,0,5,6
